text,label
@kingxxlopez Lol me and @MarcusDenton just sit there and make fun of him. I can't stand that fag,1
is bread difficult to learn,0
i have a question about culture,0
i like weight training,0
This hoe got a gf but complain about life like is she hitting you right ?,1
RT @chilltweetss: when I make the paper ball into the trash can &#128168; http://t.co/Xnx2XEGACm,0
Having sex with a guy wont keep him around for you dumb hoes who think that. Theres plenty pussy. Just gotta have a guy who wont give in,1
i have a question about swimming lessons,0
"RT @EbonyRogue: Tierra Marie: ""I'm the Princess of the ROC""
Rihanna: ""y'all get a good pic cause this bitch ain't gone be here long"" http:/&#8230;",1
that makes sense,0
RT @MikeDiggEm: @TreyzUpZay @JamesyNBA @DattBoiIraq @_2kkz @_KudaBrazyy @thatboysmurf I fuck with all yaw. Yaw all my nigs,1
"@_Perarl bitch all these thick bitches with they ass out on TV , do what you want",1
i think clothes is exciting,0
Let's just say the hotel I've been staying at isn't going to want this hand towel back. I had no idea I could turn 'em that shade of yellow.,0
RT @SneakerPics23: Oreo 6's http://t.co/Jx9DD9oahY,0
@selina_dabbagh the song? About pollo hermanos and Heisenberg?,0
Bum bitch won't even my type,1
how does leadership work,0
i am learning jewelry,0
"RT @HowardRoper: If you don't like my tweets with my belief in Jesus Christ, please respect it, but don't mock it or make negative remarks&#8230;",0
He may be the President but that doesn't necessarily mean he's in the sole position of power in regard to making such decisions.,0
get lost,1
Best of luck to Tino 'The Bambino' Martinez in Miami (your legacy is saved LOL) #Marlins #Yankees #RedSox #MLB,0
can you explain railways,0
"kyle im hungry, quit talking and let's go hoe",1
@feliciawolfee thanks hoe&#128522;,1
"There are LOTS of top tier wrestlers who started as ""yardies"".",0
@iBaneXx @Misflame @DeathcoreBabe I just don't wanna get looked at funny when I say nigger in public...,1
how long does it take to learn chess,0
it's a lovely morning,0
what is a cats,0
Stupid bitch,1
The Karate Kid is such a pussy,1
i would like to learn more about mathematics,0
@mallenokc @royceyoung extra yellow.,0
tell me about sewing,0
what is public speaking,0
i have a question about running,0
i was gone for 2 days don't her bitch ass miSS ME,1
Those faggots that keep posting gay ass videos of them cuddling with their gf's on Facebook.,1
RT @FreeMolly_: @VoiceOfDStreetz my bad bro dem hoes heat tho &#128293;&#128293;&#128293;,1
@TheRealOweifie good one you fucking bitch ass,1
RT @paidinfull_4: &#8220;@brennonthekidd_: what would u do? .. &#128561; http://t.co/RisLnwWIeR&#8221;kick that bitch down the stairs!,1
i think cooking is exciting,0
tell me about markets,0
i think animals is fascinating,0
tell me about water conservation,0
So now he wanna LIE !? &#128514;&#128557; he's a fuccing joke &#9995;&#128564; ajay gotta whole bitch but oml trynna argue wit me &amp; shit like FIR WHAT BOI !?,1
&#8220;@yungtfti: I feel sorry for anyone who paid for LIC because edc is trash music&#8221;,0
I can't trust a bitch &#128175;,1
"&#8220;@MattieTrump97: Eat a lot of protein
Eat a lot of pussy
#MattieTrumpsTipsForABetterLife&#8221;

Eat the whole ass",1
i think chemistry is helpful,0
RT @EricWithAHotDad: If you cant pass the asvab you might as well just go full retard,1
i like basketball,0
RT @JeneBramel: Clever. RT @LanceMcAlister: Watch Burfict make the hit and then mock officials by throwing a flag on himself. https://t.co/&#8230;,0
RT @Manstagram_: This bitch went full on retard http://t.co/nXj4QqGMx2,1
you are incompetent and disgusting,1
When I was 16 &amp; me my homies used to go to the mall to pull hoes. I'd be at home later that night like.... http://t.co/zq8UtPLYFK,1
You say no to ratchet pussy but juicy-j can't! Bands will make her dance,1
I miss my monkey &#128533;,0
BRUH!! RT @coldhearted9_: Them ugly hoes say a nigga arrogant...,1
i am learning solar power,0
What was that knob to get shit back in focus when it started getting fuzzy?,1
Why is it everytime I go to cracker barrel the girl with great tits that seats you who is your waitress nope its the chick with 2 teeth,1
RT @LucentVariable: @TonyJRodriguez friendly reminder that you shouldn't try to have sex with birds,0
How tf you act like a bitch ?,1
I'm ready to bounce out dis bitch -.-,1
"RT @RudeComedian: some bitches be like ""Im far from ugly"" naw hoe, you're closer than you think",1
And my mom was really getting me a car smh hoe f u for dat,1
"RT @__SoulFlower: ""I'm against feminism I think men and women should be equal"" a bitch that don't know shit about feminism",1
"I can jig, but I can't jig jig. &#128514; like that new jigging got so much in it that you could do, you really gotta be in shape for it.&#128514;",0
i usually study for exams on weekends,0
You pussy if you lie for pussy &#128175;&#128175;,1
"When niggas wanna cheat they start an argument with their girl... ""bitch i told you i hate ketchup on my hotdogs, fuck this im out""",1
I'm a bitch nigga? :( that hurts my feelings.... And I'm like so serious.,1
&#8220;@DueceDaGod: @JefDaBest I'm on my Y.U shit using LinkedIn at work b&#8221; lmfaoo bagging them linkiden hoes lol,1
But you can't tell a broke bitch nothin &#128514;&#128514;&#128514; &#128056;&#9749;&#65039;,1
Then Zerah the Cushite came against them with an army of one million men and 300 chariots. They came as far as Mare&#8230; http://t.co/LpbeB04j4r,0
Man there's a lot of fat bitches here,1
I'll NEVER let a broke bitch influence me &#128564;,1
i am learning bridges,0
We're going to make the school look so redneck tomorrow.,0
i think that book is great,0
@MannyPacquiao thank you for proving my bitch ass wrong tonight.,1
I thought it was Legal to beat yo hoe!,1
do you like shopping,0
is poetry difficult to learn,0
"@kfocht735 Nope - got lucky - some washing on the slopes, gonna make it a little rough combining but feeling very fortunate today",0
i would like to learn more about trains,0
@pombuenaa I'm surprised you could read it with slits for eyes,1
@RonanFarrow Yeah we know about Anglo-American principles.#slavery #hate #racism,0
i am learning fruits,0
i think robots is useful,0
"You just worried bout the bitches, I got one girl and she my girl no one else can hit it",1
"RT @KenDavidoff: The #Cardinals are #MLB's gold standard, and there isn't even a close silver. #Dodgers #Giants #Tigers #Yankees http://t.c&#8230;",0
i think smartphones is interesting,0
what is a playgrounds,0
I'll have these bitches havin baby's every week,1
&#8220;@teecakessss: Do this hoe wanna fight @SierraSamone_&#8221; right,1
@05235fd083ad408 hick yes,0
RT @iDntWearCondoms: RT if u lost all your bitches,1
i like bread,0
I didn't forsake all other bitches for my wife to be getting fucked on by another nigga. and you know she married? you gotta die.,1
RT @DragonBallDeez: *Atlanta RT @PacDaGoat: Houston has so many trash drivers,0
"RT @Rubberbandits: Yanks have a cocktail called an ""Irish car bomb"", but if you stuck two flakes in an ice cream cone and called it a 9/11 &#8230;",0
i think stretching is exciting,0
"RT @Sexualgif: if we're dating, don't be a sensitive bitch when i insult you.. i expect to be insulted back.",1
"I got so many horses , all the hoes say that its gorgeous ... 

In tha air dats where my doors issssss",1
And da hoes!! RT @Pr3ttyN33: I kno u hear vodka n the background &#127908;,1
what is running,0
can you recommend a good gardening,0
@EZadick don't fail bitch,1
"RT @FunnyJokeBook: If your tweets have never offended anyone, then you tweet like a little bitch.",1
I'm happy I ain't that bitch I use to be,1
"@princessmorggan yeah it was such a lie, thats why you deleted it nigger.",1
how long does it take to learn augmented reality,0
you are totally contemptible,1
"Big Squawk: Q: when will DFL dump Ryan ""Uncle Tom"" Winkler? 
} Not going to happen Berg
Bleat on.
#mngop proud #stribpol #mnleg",0
can you explain novels,0
i am learning bread,0
"@MattLaCasse His do not, until playoffs. But luckily, this means that any future kid will definitely root for the Yanks. #priorities",0
i think marketing is interesting,0
Am ghetto http://t.co/kgu2SePIQZ,0
what is beaches,0
i love cafes,0
Photo: Me and my bitch http://t.co/0jeLcx0nKU,1
you are just a loser,1
"RT @IllusiveHaven: shhhh&#8230;
wrap yourself around me
let me kiss the bruises on your heart
lick your unhealed wounds
and taste the raw wild ho&#8230;",0
i think jewelry is fun,0
can you explain yoga,0
"WEBBERS! RT @DMILZ4: Sz13 vnds restorers dream, cracked midsole, sole separation, and fogged bubbles. 150 http://t.co/yC81VG2kg1",0
RT @BlackNerdJade: RT @fivefifths: Hell wrong with yall? RT @TwanTargaryen: Pecan pie AND sweet potato pie trash. http://t.co/hH50P5pytX,1
can you recommend a good college,0
how do i go running,0
Know you don't like me cause you're bitch most likely does,1
"RT @tyleroakley: Merry Christmas, everyone! Unless you're a fucking bitch then literally just go.",1
@ImSoLK @OgHasnt fag,1
&#8220;@MannyKream_G: Birthday Weekend starts today&#8221; Shut yo hoe ass up,1
@TryHardAlby it is bitch,1
i think stars is useful,0
RT @austdun: bitch we them boys,1
i think languages learning is useful,0
how long does it take to learn laptops,0
i think knitting is fun,0
&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; RT @KarltonHinez: @ItsNotHarold smh bitch sellin her ass,1
Hey bitch..Adam showed up..bring more beer.,1
@BettinaVLA @9975Ts @SenWarren She's just another straight-up conscienceless liar. Soulless criminal trash.,0
i enjoy clothes,0
Where the hoes at ? We looking for the hoes AYEEE,1
Oh. Wow. Avoiding that bitch.,1
i like meditation,0
"RT @LamborghiniBow: Fuck a hoe, respect a woman, love a lady&#128175;",1
Lethal bird flu cocktail sent out of lab accidentally went unreported &#8211; CDC http://t.co/MO2m6q3xTt,0
"It's just not the same, #LittleDebbie #Cloud #Cake are not #Twinkies! http://t.co/OOILML6M",0
i think websites is great,0
"RT @Priceless_KP: It ain nun to cut dat bitch awf 

- Verizon",1
Can #faggots of #HoneyBooBoo imagine this #internet world was created to trap them and feed them to #Allah like gazelles? #IT #StephenKing,1
i think community is helpful,0
"&#8220;@Chrissy_Cindy: If a bitch tweet ""I lose interest fast"" slide in her DMs cause she a Thot&#8221; good looks",1
can you help me with markets,0
RT @TheCommonCock: Rt if you killed a bitch with your dick,1
i enjoy embroidery,0
what is tennis,0
Cocky bitches with front teeth that stick out from suckin they thumb &lt;,1
Dj Khaled a fool .!!! 500k for a ring for Nikki? That bitch spends a good million on her ugly ass wigs &#128514;&#128514;&#128514;,1
"RT @twincitytyson: bitches hanging in the salty spatoon, tweetin ""y can't I find a good guy :-(:-(:-(""",1
"So if I had dreads, tattoos AND a beard Id get all the bitches??",1
&#8220;@RawrItsTaraa: Trust these bitches ? Nah&#8221;,1
"Day juan at the Jim, and Im in total bitch mode for hopefully a week. Ty @RealWallieWall",1
"Hugh Heffner gonna be on Life Support, STILL gettin pussy",1
RT @lachlan: So who wants to tell the Washington Post that Charlie Crist is a Democrat? http://t.co/LGzzYusEKZ http://t.co/2jCVv7qxqf,0
what do you think about fruits,0
@danikawillow don't be a pussy. Also there is beer AND FREE PIZZA HERE. I SWEAR,1
All of my money neat all of my bitches freaky everybody kno it IT AINT A SECRET,1
i think advertising is helpful,0
i think friends is helpful,0
&#8220;@PostBadBitches: http://t.co/rPo0QUumBm&#8221; how young is this hoe with a m&amp;m pillow,1
what is the best way to learn grammar,0
"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;",1
"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; 

Dis my pal from our graduation when we was 26",1
i think hiking is helpful,0
I was gonna put &#8220;I wanna eat the pussy like a Saiyan&#8221; in her mentions but they&#8217;re savage enough.,1
Dont fuck wit broke bitches,1
why is web design important,0
I really want a sports star to get a pet monkey and name him Achilles.,0
Wallah does this dumb bitch dream about the fucking lottery to wake up this early and play fuck you hoe.,1
@_Rachel_Robbins is the realest bitch out here rt,1
can you help me with roads,0
...and I'm goin back to school.. only for the hoes and a class or two,1
"""SORRY JB FAN&#65292;REALLY JUSTIN COME BACK"". That is the top comment on a Justin Timberlake video with 10 million views. Son of a fucking bitch!",1
i find teamwork interesting,0
i enjoy design,0
i think birthdays is great,0
why is exercise important,0
Fluffy is a retard homeboy is calling a baby rattlesnake friend and kissing him! Baby rattlers will kill you man!! &#128563; http://t.co/pWFO8JHaOA,1
Finally got an updated pic with angel wing colored http://t.co/nWN9qRt5Xd,0
@JudgmentalNYer @eveisapisces it always looks so nice! I was gonna buy this yellow one,0
what is a saving money,0
Bad lil short fine bitch lil petite sumn,1
do you like the weather,0
"RT @almostkanye: Nights like this I wish, ride low in the Chevy hit the switch. In the city burning killa with a bitch",1
i think tablets is fascinating,0
i think running is fun,0
"""They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch""",0
Fuck MLK &#8220;@AntSoo305_: &#8220;@Vonteeeeee: Why does Lexii keep favoriting my coon tweets ?&#8221; MLK didnt die for this&#8221;,1
tell me about economics,0
@Leelucas_ bitch nobody want you,1
@eGoTheIcoN everytime pro teams do GB tourneys that get schmanged. Im not fanboying im just saying I don't think u should say they're trash.,0
Cause bitch. I rather eat pussy then get mine ate.,1
I think I'll just eat this brownie and pass out,0
RT @HBCUfessions: All these hoes want is sum Good Dick &amp; attention -All HBCU,1
what is a bicycles,0
i think markets is great,0
no pills jus weed kill dat pussy all night damn right sho u right,1
i find recycling interesting,0
@bossliyah_ DM me your number hoe,1
"Are you tired of the ""mock drafts""? Let's just do this: If Clowney is not the 1st pick, who thinks Round 1 becomes ""chaos""? #ShowOfHands",0
Swag killed the bitch like Columbine,1
i think investing is exciting,0
when yo song come on and you hit the blunt hard af cause that hoe go dat hard,1
Lmao RT @iPOSTBADTWEETS: Lowkey Peyton Manning trash,0
how long does it take to learn saving money,0
@Cuauhtli02 @saucygyro @CoffeeManElliot he called the Kidd a pussy or something,1
how do i prepare dinner,0
I didn't wanna see your hoe ass pictures anyways. Take care of your fuckin kids too.,1
i think blockchain is great,0
RT @_LLcooLJ: bitch i don't fucking know you,1
@chanelisabeth fuck yo bitch ass then,1
"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",0
"RT @WorIdStarFunnyy: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/NQyLxquLOC",0
Just cleaned my fingernails with a knife. #hillbilly @shanemoses625,0
what is the internet,0
Thick bitch on here tried to front on me earlier...,1
Mannnn tonight feels like trash.,0
what is the best way to learn leadership,0
i think you are a weakling,1
RT @iDripHeLicks: Why are pussy farts so embarrassing ? &#128514;&#128557;&#128557;,1
RT @Patt_Bentancur: @zzachbarness @AGrisbhy @WhiteboiColeman had to help my Gma move bitch!,1
@Billythathird @Dimi_Artale aye were da fawking ginzos of fawking queens and fawking nassau,1
RT @sassy_cee_: What y'all hoes up to?,1
Just seen a pic comparison of Lou Holtz and he grandma off Beverly hillbillies and I can't stop crying tears of unfathomable hilarity.,0
i think puzzles is interesting,0
@YaNiggaBuu janemba is better than yo pussy ass,1
i love customer service,0
"RT @AishaMoodMills: Fox News mocks victim of Ray Rice elevator assault: &#8216;I think the message is, take the stairs&#8217; http://t.co/6TKLgUP2Wh ht&#8230;",0
@NicoleADietrich chug pee,0
i think culture is fascinating,0
nobody likes you,1
"@ThomasNye1 my momma saw how the girls danced and was like &#128563;grandma was like ""shake that ass hoe""",1
When a girl asks me if I eat pussy... At first I don't even cause that's just a stupid question in itself,1
@frances_simply you still ugly then a hoe and you still look like muffie off Arthur &#128527;&#128527;&#128526;&#128526;,1
you are repulsive and everyone hates you,1
RT @ThatDamnHAM: @NapturallyDev @HeyJaiiiii @_halfCRAZY610 lol bitch you've put lotion on my butt &amp; orajel in my mouth. You'd paint my toes&#8230;,1
"RT @janbaloch45: Pakistani Christian Couple burnt alive in Kasur Punjab http://t.co/JRxpbsL05Y
@veritaz @marvisirmed 
@Goshno @AliyaNazki &#8230;",0
i think beaches is great,0
Funnie watching my nig interview on ESPN,1
@TODDIE_soPLAYER well since you is blood you get a G pass but only this time and I won't tell wop about that lyric situation,0
@EverybodyHatesV I read a black man tweet hot sauce is trash &amp; watermelon is overrated. I can't deal,0
Put the redskins in your starting lineup instead of the Dolphins...it'll be fun they said.,0
If I fuck a nigga bitch ima just record it an keep fuckin her til she play dumb then ima have to show him,1
i think swimming is fascinating,0
"Libs trash Saira Blair, an 18-year-old Republican who won a seat in the West Virginia legislature 
http://t.co/V01w8UamJy",0
"""I dont have hoes"" &#128564;",1
tell me about embroidery,0
@Taste_My_Lips57 Ain't say it's wrong but it's just as stupid as hoes showing up to get attention from dudes.No one is bigger than the game.,1
@intheKCmix Simmons acted like a bitch when Doc left for LA.. &#128514;&#128514;,1
you will always be a loser,1
i like roads,0
@AustinthaIntern Johnny football is trash man. Trash. Lol.,0
go back to where you came from,1
i think cricket is fascinating,0
can you recommend a good robots,0
what do you think about water conservation,0
can you recommend a good pizza,0
how do you do,0
can you help me with hiking,0
you are truly ignorant,1
@Titan4Ever2488 some Mets fan tried telling me Rivera isn't of the best Yankees of all time because he is just a closer. WTF,0
@brendacoyt_3 : I got them bitches snowboarding to me &#127938;&#127935;&#10052;&#65039;&#9924;&#65039;,1
"&#8220;There is a time &amp; a place 4 decaf coffee. Never &amp; in the trash."" http://t.co/ZVJROXgNDQ&#8221; #MommyMonday humor via @JenerationPR &amp; @theskimm",0
what is holidays,0
you are nothing but a nobody,1
Text me instead of playing flappy birds #SoIKnowItsReal,0
RT @lumponthegrind: Yall ever was In the car with ya moma before and you singing every song come in and she be like bitch you know that sch&#8230;,1
Next time you leave magic trash in my jacket try not to have your initials written on them. @whatupag http://t.co/tFV1cZtr,0
"Grr... Woke up ickblah. Congestion ew chunky bloaty gross. Missed the gym. 1 1/2hr wait for the Dr. 
 Boo Friday. 
#whineytweet",0
what is a the news,0
what is a space,0
@FaZeDAVlS @SoaR_Wvyy @SoaR_Haze @FaZeOutcsT this is gobbledy gook to me because i dont have the game,0
@michellemcaffey I'll show you how much of a fag I am &#128527;,1
why is tourism important,0
18 year old pussy tastes like hope.,1
what is leadership,0
RT @SteeloBrim: Captain Kirk hoe!,1
RT @_TommyGunn_: Some of you cunts owe me money.,1
tell me about mathematics,0
you're an idiot,1
@CapoDaAssHole @Alejandro_Bihhh lmaooo I wanted them hoes she was suppose to hold em,1
"all these Ciara songs are old to me bitches , they from like 2 weeks ago lml, #basicbitches",1
i think biology is good,0
&#8220;@__Black_Jesus: &#8220;@lil_aerii: Happy new year &#127882;&#127881;&#127881;&#127881;&#127881;&#127881;&#127881;&#127882;&#127882;&#8221; check yo clock Hun we got another hour lol..&#8221;they just did the lil count down thing,0
"Thanks Charlie, have a great evening @Charlie4927 @StacyDmomof5 @RevkahJC @cantUCIMblonde @Kacado @PattiSM74",0
@JLlVE looks prime for some trash pick up,0
i think weight training is great,0
i think you are incompetent,1
"RT @mpoindc: Wow, Henry Waxman gets caught in a CLASSIC Charlie LeDuff segment after Charlie comes to DC for today's GM hearing: http://t.c&#8230;",0
i enjoy cafes,0
Another long mornin smh...Thank God a nicca out here to see it tho real shit,1
what do you think about teamwork,0
i have a question about the ocean,0
you are completely useless,1
"RT @49ers: Oregon State WR @brandincooks is a popular #49ers pick in recent mock drafts. 

DRAFT TRACKER: http://t.co/AEueKmhkQX http://t.c&#8230;",0
i think economics is great,0
"#DegenerateArtist Can't do it ALL on CARD&gt; I'm not a French Muslim retard&gt; I don't expect or demand a child bride yard, cuz I got MAN DICK&gt;",1
everyone thinks you are incompetent,1
Dese bitches actin like they loyal give dat hoe a Oscar &#127942;&#128564;&#128530;,1
"RT @StuffKaySays_: I come off like a total bitch, but if I like you I will literally do anything for you.",1
Wut a bitch,1
RT @CuhCuhCuh: bitches is twerkin on camera while they kid watchin sponge bob cuh,1
Poof. Vamoose son of a bitch,1
can you help me with theater,0
i think the economy is great,0
i am learning the circus,0
"RT @_Crzy4tay: &#8220;@hedge_brandon: If youve only seen my couch, not my bed, then you my hoe&#8221;&#128514;&#128514;",1
When my right hand get out niggas gon remember why we tru loyal pussy,1
pure trash http://t.co/A2RbVEBeg1,1
how long does it take to learn the circus,0
"RT @Matty_Kem: My favorite shark is megaldon, my least favorite is a mud shark. They are the worst",0
I absolutely love my Shanti regardless what we go through that's my bitch,1
you are truly brainless,1
i find pottery interesting,0
"RT @IndiaMone: LOL RT @JoeBudden: Wait a minute, I&#8217;m seeing mad dope costumes.. Yall stop trying to steal Halloween back from the hoes !!!",1
"RT @CjayyTaughtHer: Eat her pussy when she mad, sad, stressed, mad at you, or whatever shit just lay her down and eat her pussy up &#128076;&#128069;&#128166;",1
@peteyhoti that funky monkey,0
versace bird feeder,0
can you explain teamwork,0
RT @UnnagroundKing: RT @JoshHelaku: I don't care who Kendrick made that song for it's still trash,0
how does cyber security work,0
@EakaErick I wouldn't share a wave with those trash cans,0
@MANIAC3X buck beaners &amp; security started pushing him &amp; that jetsgreen faggot around,1
i enjoy programming,0
Killing it at home! &#127936; #NBA #pacers #indiana #paulgeorge #hoosiers #basketball #hashtag #winning http://t.co/2qwEPnUx,0
@discordianslip I hope my fuzzy head doesnt tickle too much.,0
"@iNURSELISA @blackredsoxfan 
It's a nice way of callin y'all honkies",1
Sometimes I feel like being really nice to everyone then I'm just like wait you're all bitches anyway soooo,1
tell me about pronunciation,0
@Fabulousjonna_ I need some red green &amp; yellow pants &amp; helly shirts express,0
"lol @ all the hoes I've been through, only to realize that I don't fuckin need any of them.",1
"Despite the zebra red rocket special, portland beats those jersey shore floppers.",0
I have them bitches runnin wen dat pipe come DAMN,1
Broke hoes always wanna argue u ain't ate all day were u get that energy from &#128514;&#128514;,1
you are nothing but pathetic,1
RT @koleworld4: but i don't fck with broke bitches &#128524;,1
&#128514;&#128514;&#128514;&#128514; @shoota1017 bitch was mad af https://t.co/9C4i4W7Q7D,1
what is a photography,0
i think markets is helpful,0
Knock em down wit sum chunky &#128548;&#128299;,0
@AmandaBynes yea that always looks nice.all the monkey faced women a see around Santa Monica. Looks better than natural beauty. #don'tBeDumb,1
"Lmao this bitch high asf and she asked me ""Do I look high?""",1
"So was chris brown talking bout hisself when he said ""these hoes ain't loyal ?""",1
"RT @AlexDavisRaps: ""Pacer"" is short for pussy",1
"Moral to the story: If you like the Yanks, I'll pretty much do anything you tell me to do.",0
what is the ocean,0
"@NYRKelsMads @davidortiz @BarackObama 
I likes da Yankees",0
I think I figured out where white trash Americans come from: the rural parts of Europe.,1
i think vocabulary is good,0
Who needs an alarm when you have the worlds most annoying bird outside your window?!??,0
nice job,0
"I hate when girls say ""I'm single but my heart is taken"" bitch, that nigga don't love you, hoe. Move on.",1
everyone thinks you are a nobody,1
how does languages work,0
RT @ShelleT1986: Great start the morning! My daughter danced herself into the coffee table and gave herself a nice shiner... Yea she's a wh&#8230;,0
RT @120Sports: Twitter tipped its cap to say #FarewellCaptain to Jeter in his Yankee Stadium finale. VIDEO: http://t.co/QdldmWBwXJ http://t&#8230;,0
"@FusionRocks @jumabr 
I likes me dem Mexican hoes. Day suck me off for 5 dollas",1
is football difficult to learn,0
"Nigga i wus graduating RT @i_EaT_PIE: If you wasn't in the 6th grade in 1996, you a hoe",1
"RT @hollisbiggs: based on my Starbucks drink choices, I admit that I am in fact a basic bitch.",1
' Being in love stressful ma niggah .,1
i think artificial intelligence is useful,0
RT @ChivasGee: Fuck up you swole fag,1
@VictorRico3 No I don't fuck with those hoes ask Paco he does,1
stfu redneck white trash head ass,1
Ever leave me around yo bitch and ima get her stoned,1
@SoWavyTee hey Hun!,0
you will always be a disgrace,1
i think hotels is fascinating,0
i think computers is good,0
you are really a joke,1
If you slow down for a puddle you're a bitch,1
i think virtual reality is good,0
i think project management is interesting,0
what is a museums,0
i would like to learn more about machine learning,0
"@ruby_knox @all_about_kk @squirtnetwork Why would i pay sex ,when i can getfree pussy that makes no sence at all",1
GA Charlie @Charlie4927 @sholzbee @DorisTafoya1 @cat_lmbo @Jagauress @Walter_lars @lynnemrnp @AmyMek @Justin_Awe,0
RT @odotkay: Mother's Day is n 16 mins. Y'all bitches picked y'all kids up from yo mama house so u can have 24hrs of custody n Instagram p&#8230;,1
"RT @_YourHoesStink: &#8220;@PizzaBeforeHoes: I hate a ""I'm my own WCW &#128129;"" ass bitch &#128514;&#8221;",1
"Everybody , Everybody everybody, Everybody sit yo bitch ass down and listen to this true motherfuckin told by Kendrick lamar rolls crash",1
@Crewz76 I miss Tupac rap offs hillbilly,0
what do you think about cooking,0
This dude fell cuz he was looking at these bitches in the car.&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;,1
RT @thatgirlran: &#8220;If your 15/16 ACT like your those ages not like your 20. Its not cute.&#8221; That awk moment when I thought this tweet was abo&#8230;,0
Breakfast fried chicken jerk chicken Tater tots white rice nd press yellow rice nd beans Mac nd cheese http://t.co/Usz8gJnZl0,0
what do you think about climate change,0
I b tryna remind these bitches ... I knew u b4 dis social network fame,1
@urbasicyabish nigor??,0
&#8220;@_ajoyaaa: Victor &amp; shawn legs don't hurt? They jigg every damn night &#128530;&#8221;&#128514;&#128514;&#128514;,1
